534120	630030	\N
5540	60530	\N
295940	453370	\N
453370	83570	\N
477580	72450	\N
5540	211420	\N
48460	556160	\N
5540	186130	\N
170840	8080	\N
48460	194320	\N
265830	265910	\N
5540	60650	\N
76980	124470	\N
5540	426550	\N
5540	181730	\N
265830	403770	\N
5540	48350	\N
5540	106010	\N
48460	76890	\N
5540	146190	\N
5540	90000	\N
428910	401580	\N
48460	295050	\N
5540	213780	\N
5540	34430	\N
295940	617930	\N
48460	136420	\N
5540	103970	\N
5540	108830	\N
76980	77200	\N
5540	73930	\N
5540	56230	\N
184530	95970	\N
453380	295940	\N
5540	633040	\N
5540	124280	\N
5540	307390	\N
5540	96000	\N
5540	60590	\N
453420	453410	\N
5540	22660	\N
295940	535310	\N
5540	128730	\N
184530	122310	\N
5540	162340	\N
5540	167890	\N
5540	222480	\N
5540	434240	\N
5540	107690	\N
5540	2660	\N
5540	426520	\N
414990	460230	\N
5540	136350	\N
184530	8970	\N
5540	361180	\N
76980	97940	\N
184530	156240	\N
5540	131320	\N
48460	453450	\N
5540	72660	\N
5540	409930	\N
5540	520970	\N
5540	17330	\N
295940	453400	\N
5540	191980	\N
513000	453450	\N
5540	384090	\N
5540	175000	\N
5540	478580	\N
5540	295390	\N
76920	76830	\N
5540	114460	\N
5540	127590	\N
5540	38600	\N
265830	14570	\N
76980	76840	\N
76980	77310	\N
5540	106640	\N
5540	162380	\N
5540	48440	\N
5540	26300	\N
5540	175770	\N
5540	28140	\N
48460	76750	\N
5540	136650	\N
453370	396340	\N
184530	180930	\N
5540	137550	\N
5540	51990	\N
453420	453480	\N
5540	226300	\N
196160	488950	\N
48460	77030	\N
5540	334810	\N
453400	201880	\N
5540	127670	\N
5540	218210	\N
48460	140540	\N
170840	13310	\N
76920	77320	\N
170840	485820	\N
5540	194340	\N
5540	93070	\N
5540	44410	\N
265830	184450	\N
48460	450460	\N
5540	46400	\N
5540	149930	\N
5540	76860	\N
5540	10790	\N
5540	495240	\N
184530	242740	\N
414990	113530	\N
5540	478420	\N
48460	76680	\N
5540	177330	\N
184530	182810	\N
5540	63170	\N
390460	226770	\N
5540	149350	\N
295940	297650	\N
5540	5520	\N
170840	103970	\N
5540	12370	\N
5540	88340	\N
5540	135360	\N
5540	18110	\N
5540	111780	\N
5540	12930	\N
5540	115780	\N
5540	55470	\N
5540	73520	\N
5540	95130	\N
76920	48460	\N
5540	299770	\N
5540	82510	\N
48460	101080	\N
76920	77080	\N
390460	320590	\N
477580	60720	\N
5540	313940	\N
5540	52480	\N
48460	157940	\N
265830	238460	\N
5540	14690	\N
5540	31600	\N
5540	45010	\N
196160	9120	\N
76920	63090	\N
48460	77120	\N
5540	47140	\N
48460	4230	\N
5540	4880	\N
428910	244480	\N
5540	404920	\N
5540	115860	\N
5540	237120	\N
5540	210310	\N
48460	63160	\N
453370	200650	\N
76980	14570	\N
5540	22360	\N
5540	101940	\N
5540	112860	\N
5540	415250	\N
5540	80790	\N
453380	453400	\N
5540	89410	\N
182810	77300	\N
5540	183980	\N
5540	77110	\N
5540	213400	\N
414990	548860	\N
5540	850	\N
5540	73360	\N
5540	114170	\N
5540	76600	\N
5540	156180	\N
76980	48460	\N
5540	468970	\N
265830	244960	\N
5540	302060	\N
265830	307000	\N
170840	463830	\N
5540	470880	\N
5540	572070	\N
5540	48530	\N
5540	192740	\N
5540	22350	\N
265830	13250	\N
48460	11550	\N
5540	476800	\N
5540	363590	\N
5540	113540	\N
453380	453390	\N
5540	192280	\N
5540	311280	\N
5540	88480	\N
5540	483930	\N
5540	15880	\N
390460	130120	\N
5540	113530	\N
5540	335820	\N
5540	13570	\N
76980	322830	\N
5540	168420	\N
5540	73350	\N
5540	76590	\N
48460	77330	\N
295940	308620	\N
5540	181750	\N
5540	27360	\N
5540	131110	\N
5540	73530	\N
5540	206860	\N
5540	93800	\N
5540	137940	\N
76920	67860	\N
5540	13090	\N
5540	234180	\N
453370	453460	\N
184530	584280	\N
5540	260	\N
295940	298000	\N
5540	431020	\N
48460	55870	\N
5540	35480	\N
5540	73950	\N
5540	88970	\N
5540	343580	\N
5540	119240	\N
477580	182810	\N
5540	18170	\N
5540	332790	\N
5540	222070	\N
76920	578380	\N
48460	28950	\N
5540	22470	\N
5540	201930	\N
5540	379740	\N
5540	444050	\N
5540	106920	\N
184530	209060	\N
5540	64720	\N
76980	76850	\N
534120	182810	\N
5540	332540	\N
5540	569670	\N
48460	76610	\N
76980	379330	\N
5540	68740	\N
5540	73710	\N
5540	31450	\N
170840	503000	\N
295940	459650	\N
5540	57610	\N
5540	71910	\N
5540	199310	\N
184530	430930	\N
48460	106140	\N
5540	20990	\N
5540	332900	\N
170840	4230	\N
5540	359470	\N
5540	30490	\N
453420	295940	\N
5540	388440	\N
5540	304180	\N
5540	120990	\N
48460	513000	\N
5540	2440	\N
5540	175720	\N
5540	76610	\N
5540	151200	\N
48460	46750	\N
5540	55420	\N
453400	185970	\N
5540	27140	\N
5540	90	\N
76980	31430	\N
5540	180120	\N
48460	62810	\N
453370	453480	\N
5540	126540	\N
5540	85970	\N
184530	156140	\N
5540	15920	\N
76980	133330	\N
5540	254900	\N
5540	58910	\N
76920	77150	\N
5540	48220	\N
76980	76990	\N
170840	146260	\N
5540	112780	\N
5540	16150	\N
390460	76320	\N
5540	186050	\N
5540	107370	\N
5540	231420	\N
5540	23110	\N
170840	346310	\N
5540	520920	\N
265830	265920	\N
5540	192890	\N
5540	415180	\N
5540	470200	\N
5540	205570	\N
5540	47870	\N
184530	328450	\N
390460	398890	\N
5540	483480	\N
5540	251930	\N
5540	168950	\N
76980	76910	\N
182810	76920	\N
5540	97830	\N
5540	291090	\N
5540	5220	\N
5540	249680	\N
5540	64150	\N
5540	342520	\N
5540	109440	\N
5540	298730	\N
76980	76940	\N
48460	232910	\N
170840	339270	\N
5540	48900	\N
5540	633910	\N
5540	401560	\N
265830	30380	\N
5540	105760	\N
5540	95260	\N
5540	11110	\N
5540	385150	\N
